Farming_Turnover,Crop_Yields,Market_Demand,Land_Ownership,Land_Size,Weather_Data,Government_Subsidy,Expenses,Livestock_Inventory,Education,Debts_Liabilities,Community_Feedback,Creditworthiness
56289,2018,High,Leased,7,Normal,Yes,15376,Pigs,High School,10000,Low,Poor
75000,3000,Medium,Owned,5,Variable,No,20000,Chicken,College Degree,10000,Medium,Excellent
74943,2943,Medium,Leased,5,Variable,No,18826,Chicken,College Degree,2000,Medium,Excellent
75000,3000,Medium,Owned,5,Variable,No,18442,Chicken,College Degree,2000,Medium,Excellent
75000,3000,Medium,Leased,5,Variable,No,20000,Chicken,College Degree,2000,Medium,Excellent
74357,3000,Medium,Leased,5,Variable,No,20000,Chicken,College Degree,0,Medium,Excellent
40000,2156,Medium,Owned,8,Unpredictable,Yes,14552,Sheep,None,500,High,Average
75000,2981,Medium,Leased,5,Variable,No,17722,Chicken,College Degree,2000,Medium,Excellent
43229,1712,Low,Owned,12,Variable,Yes,14083,Cattle,High School,500,High,Good
48053,2145,Medium,Owned,7,Normal,No,14641,Cattle,High School,0,High,Very Good
63393,2411,High,Leased,7,Normal,Yes,17351,Pigs,High School,10000,Low,Good
75000,3000,Medium,Leased,5,Variable,No,19778,Chicken,College Degree,2000,Medium,Excellent
62235,3000,High,Leased,10,Normal,Yes,17182,Chicken,High School,10000,Medium,Good
75000,3000,High,Leased,7,Normal,Yes,17653,Pigs,High School,10000,Low,Poor
51246,2512,Medium,Owned,12,Variable,No,14948,Cattle,College Degree,0,High,Very Good
40000,1727,Low,Leased,5,Unpredictable,Yes,12000,Sheep,High School,500,High,Average
52242,2017,High,Owned,10,Normal,Yes,18152,Pigs,High School,10000,Low,Poor
58744,2426,High,Leased,10,Normal,Yes,16646,Cattle,High School,10000,Low,Poor
46734,2251,Medium,Owned,5,Variable,No,15729,Chicken,College Degree,2000,High,Very Good
40000,3000,Low,Owned,12,Variable,Yes,15167,Cattle,College Degree,2000,High,Excellent
58258,1523,High,Owned,10,Normal,Yes,14380,Cattle,High School,500,Low,Good
54755,3000,High,Leased,7,Normal,No,16866,Chicken,College Degree,0,High,Good
72476,3000,Medium,Owned,5,Variable,No,15137,Chicken,College Degree,0,Medium,Excellent
40000,1602,Low,Owned,8,Unpredictable,Yes,12168,Sheep,None,500,High,Average
75000,2363,Medium,Owned,5,Variable,No,16482,Cattle,College Degree,0,High,Very Good
52905,2262,Medium,Owned,5,Variable,No,18891,Cattle,College Degree,2000,Low,Average
75000,3000,Medium,Leased,5,Variable,No,18828,Chicken,College Degree,2000,Medium,Excellent
49001,1743,Low,Owned,8,Normal,Yes,12000,Pigs,None,2000,High,Average
46934,2008,Medium,Owned,12,Variable,No,15254,Cattle,College Degree,0,High,Very Good
56808,2931,Medium,Owned,7,Variable,No,14834,Cattle,High School,2000,Low,Very Good
58371,1652,High,Owned,8,Normal,Yes,14479,Cattle,College Degree,0,Medium,Good
40000,1945,Low,Owned,10,Unpredictable,Yes,12000,Sheep,None,500,High,Average
59420,2101,High,Owned,12,Normal,Yes,14776,Cattle,High School,0,Low,Good
44447,2403,Medium,Owned,12,Variable,No,16871,Cattle,College Degree,0,High,Very Good
54508,1657,Medium,Owned,5,Variable,No,15165,Chicken,College Degree,0,Medium,Excellent
75000,3000,High,Leased,5,Normal,Yes,17680,Pigs,High School,2000,Low,Excellent
75000,2952,Medium,Leased,5,Variable,No,16933,Chicken,College Degree,0,Medium,Good
68816,2829,Medium,Owned,5,Variable,No,18549,Chicken,College Degree,2000,Medium,Excellent
74600,2813,Medium,Owned,8,Variable,No,15270,Cattle,College Degree,2000,Medium,Very Good
55363,1500,High,Owned,10,Unpredictable,Yes,12197,Sheep,None,0,Low,Good
40000,1647,High,Leased,8,Unpredictable,Yes,17578,Chicken,None,2000,Low,Good
75000,2825,Medium,Leased,5,Variable,No,19022,Chicken,College Degree,2000,Medium,Excellent
41537,2847,Medium,Owned,12,Variable,No,15976,Cattle,None,0,High,Good
48799,2086,High,Owned,10,Normal,Yes,14269,Cattle,High School,0,Low,Good
52831,2086,Medium,Owned,12,Variable,Yes,15833,Cattle,College Degree,0,High,Very Good
46738,1911,Medium,Owned,10,Variable,No,15958,Cattle,College Degree,0,High,Very Good
75000,2223,Medium,Owned,12,Variable,Yes,14614,Cattle,None,2000,High,Very Good
75000,3000,Medium,Leased,5,Variable,No,20000,Chicken,College Degree,2000,Medium,Excellent
75000,2850,Medium,Owned,5,Variable,No,15468,Chicken,College Degree,2000,Medium,Excellent
48303,2421,Medium,Owned,10,Normal,No,15496,Sheep,High School,0,Low,Good
72732,3000,Medium,Owned,12,Variable,No,16555,Cattle,College Degree,2000,High,Excellent
62313,3000,Medium,Owned,12,Variable,No,20000,Cattle,College Degree,2000,Medium,Very Good
55838,2315,High,Leased,10,Normal,Yes,13945,Pigs,High School,10000,Low,Poor
75000,3000,High,Leased,7,Variable,No,16604,Chicken,None,2000,Low,Excellent
46483,2354,High,Owned,10,Unpredictable,Yes,18816,Sheep,High School,0,Low,Excellent
43754,2209,Medium,Owned,10,Variable,Yes,12000,Sheep,None,500,High,Average
56755,2130,High,Owned,8,Normal,Yes,12000,Sheep,High School,500,Low,Poor
42473,2555,Medium,Owned,8,Normal,No,15719,Sheep,College Degree,0,High,Excellent
51512,2485,High,Owned,12,Variable,Yes,14530,Cattle,High School,0,High,Good
72036,2120,Medium,Owned,5,Variable,No,12976,Chicken,College Degree,2000,High,Excellent
61408,2133,High,Leased,10,Normal,Yes,16699,Cattle,High School,10000,Low,Poor
54958,2047,High,Owned,7,Normal,Yes,16359,Sheep,High School,10000,Low,Poor
40000,1790,Medium,Owned,8,Variable,Yes,12000,Sheep,None,0,High,Very Good
73145,3000,High,Leased,5,Normal,Yes,20000,Chicken,High School,10000,Medium,Excellent
40000,1676,Low,Owned,8,Unpredictable,Yes,12000,Sheep,High School,500,High,Average
57225,2563,High,Leased,7,Normal,Yes,16707,Pigs,High School,10000,Low,Poor
59234,3000,Medium,Leased,5,Variable,Yes,19013,Pigs,High School,10000,Low,Very Good
40000,2367,Low,Leased,10,Normal,Yes,16522,Pigs,High School,500,Low,Poor
75000,1925,Medium,Owned,12,Variable,No,16083,Cattle,College Degree,2000,High,Excellent
57524,2421,High,Owned,10,Normal,No,14992,Cattle,High School,0,Low,Very Good
57764,2364,High,Owned,7,Normal,Yes,15405,Pigs,High School,10000,Low,Very Good
75000,3000,Medium,Leased,5,Variable,No,18037,Chicken,College Degree,2000,Medium,Excellent
49982,2125,Low,Owned,8,Unpredictable,Yes,12776,Sheep,College Degree,0,High,Average
57870,2564,High,Leased,7,Normal,Yes,16859,Pigs,High School,10000,Low,Poor
51300,2362,High,Owned,8,Normal,Yes,13800,Cattle,High School,0,High,Good
41919,1964,Medium,Owned,12,Variable,No,15847,Cattle,College Degree,0,High,Very Good
40000,1500,Low,Owned,8,Unpredictable,Yes,12000,Sheep,None,500,High,Average
51960,2139,Medium,Owned,12,Variable,Yes,15606,Cattle,College Degree,0,High,Very Good
55017,1819,High,Leased,10,Normal,Yes,17624,Pigs,High School,500,Low,Average
40620,1689,High,Owned,5,Unpredictable,Yes,12000,Sheep,None,500,High,Average
40000,1724,Medium,Owned,12,Variable,No,14911,Cattle,College Degree,0,High,Very Good
55856,2948,Medium,Owned,12,Variable,No,16070,Cattle,College Degree,0,Medium,Very Good
44151,1798,Low,Owned,8,Unpredictable,Yes,12000,Sheep,None,500,High,Average
75000,1867,Low,Leased,8,Unpredictable,Yes,16781,Sheep,None,500,High,Average
58101,2053,High,Leased,12,Normal,Yes,16184,Pigs,High School,10000,Low,Poor
52428,2140,High,Owned,10,Normal,Yes,16907,Sheep,High School,0,Low,Poor
57283,2584,High,Leased,12,Normal,Yes,16950,Pigs,High School,10000,Low,Very Good
54992,2376,Low,Owned,10,Unpredictable,Yes,12000,Cattle,College Degree,0,Medium,Very Good
63514,1984,Medium,Owned,12,Variable,No,15917,Cattle,High School,0,Low,Very Good
47402,2204,Medium,Owned,12,Variable,No,14921,Cattle,College Degree,0,High,Very Good
75000,2974,High,Leased,5,Variable,No,15464,Cattle,College Degree,2000,Medium,Very Good
63721,2474,High,Leased,10,Normal,Yes,18050,Cattle,High School,10000,Low,Poor
61344,2300,High,Owned,12,Normal,Yes,14996,Cattle,High School,0,High,Very Good
59723,2392,High,Owned,12,Normal,No,15295,Cattle,High School,0,Low,Average
45374,2023,High,Owned,10,Variable,Yes,15534,Chicken,None,0,Low,Average
49476,2539,Medium,Owned,5,Variable,No,15192,Cattle,College Degree,0,High,Good
75000,3000,High,Leased,5,Normal,No,19675,Chicken,College Degree,0,Medium,Excellent
53345,2468,High,Leased,7,Normal,Yes,13888,Pigs,High School,0,Low,Poor
55944,2372,High,Owned,12,Normal,Yes,14550,Pigs,High School,0,Low,Poor
52775,2213,High,Owned,10,Normal,Yes,14082,Cattle,High School,0,Low,Good
75000,3000,Medium,Leased,5,Variable,No,18220,Chicken,College Degree,2000,Medium,Excellent
57467,2644,High,Owned,10,Normal,Yes,18038,Cattle,High School,10000,Low,Poor
52617,2470,Medium,Owned,10,Variable,No,17102,Chicken,College Degree,0,Low,Good
54091,2655,Medium,Owned,12,Variable,No,16188,Cattle,College Degree,0,High,Good
57440,2364,Medium,Owned,5,Variable,No,15300,Cattle,College Degree,2000,High,Very Good
45873,2101,Low,Leased,8,Unpredictable,Yes,12130,Sheep,College Degree,500,High,Average
53946,2323,Medium,Owned,12,Variable,No,16411,Pigs,College Degree,0,High,Very Good
49288,2534,Medium,Owned,12,Variable,No,16046,Cattle,College Degree,0,High,Very Good
40000,1823,High,Owned,10,Normal,Yes,14136,Cattle,None,0,Low,Average
75000,2926,High,Leased,5,Normal,Yes,17107,Pigs,High School,10000,Medium,Poor
45293,2023,Medium,Owned,12,Unpredictable,No,19778,Cattle,College Degree,500,High,Very Good
40918,1776,Low,Owned,8,Unpredictable,Yes,12000,Sheep,None,500,High,Average
47786,1976,High,Owned,8,Unpredictable,Yes,15621,Sheep,None,500,High,Average
49803,2293,Medium,Owned,10,Normal,Yes,15232,Cattle,None,0,High,Good
56050,3000,Medium,Owned,12,Variable,No,16482,Cattle,College Degree,2000,High,Very Good
59058,2336,Medium,Owned,12,Variable,Yes,15358,Cattle,High School,0,Low,Good
40000,1689,Low,Owned,8,Variable,Yes,15374,Chicken,None,500,High,Good
75000,3000,Medium,Leased,5,Variable,No,18038,Chicken,College Degree,2000,Low,Average
49521,2470,Medium,Owned,12,Variable,Yes,14612,Pigs,None,0,High,Very Good
58452,1661,Low,Owned,8,Normal,Yes,12000,Cattle,None,0,High,Excellent
41759,1500,Low,Owned,10,Unpredictable,Yes,12000,Cattle,None,0,Medium,Excellent
46949,1727,Low,Owned,8,Unpredictable,Yes,12000,Sheep,None,500,High,Average
47347,1964,Medium,Owned,10,Unpredictable,Yes,16133,Sheep,None,0,High,Average
55289,1630,High,Leased,10,Normal,Yes,17530,Pigs,High School,10000,Low,Average
56813,2432,High,Leased,12,Normal,Yes,18041,Pigs,College Degree,0,Low,Poor
53837,1947,High,Owned,12,Variable,No,16218,Cattle,High School,0,Low,Very Good
52188,1783,High,Owned,10,Normal,Yes,14024,Cattle,High School,0,High,Good
55571,1799,Low,Leased,7,Normal,Yes,16290,Sheep,High School,10000,Low,Average
75000,3000,Medium,Owned,5,Variable,No,19114,Chicken,College Degree,2000,Medium,Very Good
40000,1566,Low,Owned,8,Unpredictable,Yes,12000,Sheep,None,500,High,Average
52529,2551,High,Owned,10,Normal,Yes,15274,Cattle,High School,0,High,Good
61873,2230,High,Leased,5,Normal,Yes,18250,Cattle,College Degree,10000,Medium,Very Good
46691,1500,Medium,Owned,8,Variable,No,12000,Cattle,College Degree,500,High,Very Good
40000,1826,Low,Owned,12,Variable,No,14775,Chicken,College Degree,0,High,Very Good
58166,2329,Low,Owned,10,Variable,Yes,15022,Cattle,College Degree,0,Low,Good
49807,2148,Medium,Owned,7,Unpredictable,Yes,12000,Sheep,College Degree,2000,High,Excellent
41797,1500,Low,Owned,8,Unpredictable,Yes,12000,Sheep,None,500,High,Good
40000,2157,High,Owned,10,Normal,Yes,12000,Sheep,High School,10000,Low,Average
42950,1970,Low,Owned,8,Unpredictable,Yes,12000,Sheep,None,500,High,Average
52532,2387,Medium,Owned,5,Normal,Yes,17497,Cattle,College Degree,0,Low,Good
67491,3000,Medium,Leased,5,Variable,No,19252,Cattle,College Degree,2000,Medium,Very Good
40000,2473,Medium,Owned,12,Variable,Yes,15390,Cattle,College Degree,10000,High,Very Good
75000,3000,Low,Leased,5,Normal,Yes,17264,Chicken,High School,2000,Medium,Excellent
75000,3000,Medium,Leased,5,Variable,No,17489,Chicken,College Degree,2000,Medium,Excellent
50121,1708,Medium,Owned,8,Unpredictable,No,12000,Cattle,College Degree,2000,Medium,Poor
40000,1700,Low,Leased,8,Unpredictable,Yes,12000,Sheep,None,500,High,Average
40000,2093,Low,Owned,8,Unpredictable,Yes,12000,Sheep,None,500,High,Average
62799,2573,Medium,Leased,12,Normal,Yes,16369,Cattle,High School,0,High,Good
40000,2259,High,Owned,10,Normal,Yes,15320,Cattle,High School,0,High,Average
55749,2392,High,Owned,7,Normal,Yes,15629,Pigs,High School,0,Low,Good
71284,3000,Low,Leased,5,Variable,No,17672,Chicken,College Degree,2000,High,Excellent
75000,2509,Medium,Leased,12,Variable,No,14693,Cattle,College Degree,10000,Medium,Poor
75000,2629,Medium,Leased,10,Variable,No,18650,Chicken,High School,2000,Medium,Poor
69422,3000,Medium,Owned,5,Variable,No,16417,Chicken,College Degree,0,Medium,Excellent
47364,2214,High,Owned,12,Variable,Yes,15390,Cattle,College Degree,0,High,Very Good
58207,2237,High,Owned,12,Variable,Yes,14923,Cattle,High School,0,Low,Good
40000,2142,Low,Owned,8,Unpredictable,Yes,12000,Sheep,None,500,High,Average
57160,2207,Medium,Owned,12,Variable,No,15878,Cattle,High School,0,High,Good
53153,2483,Medium,Owned,10,Variable,No,15708,Cattle,College Degree,0,High,Very Good
75000,3000,Medium,Leased,5,Variable,No,19765,Chicken,College Degree,2000,Medium,Excellent
43684,2110,Medium,Owned,10,Variable,Yes,15993,Cattle,None,0,High,Good
51928,2340,High,Owned,7,Normal,Yes,14405,Cattle,High School,10000,Low,Good
53632,2673,Medium,Owned,12,Variable,No,16924,Sheep,College Degree,0,Medium,Excellent
44266,2329,Low,Owned,8,Variable,Yes,12000,Sheep,None,500,High,Average
40351,1720,Low,Owned,8,Unpredictable,Yes,17677,Sheep,None,500,High,Average
49646,2281,Medium,Owned,10,Normal,Yes,14419,Cattle,College Degree,0,High,Very Good
58605,3000,High,Leased,7,Normal,Yes,17207,Pigs,High School,10000,Low,Poor
47231,1500,Low,Owned,8,Unpredictable,Yes,12000,Cattle,None,0,High,Average
50495,1932,High,Leased,10,Normal,Yes,12000,Sheep,None,500,High,Poor
54372,2413,High,Leased,7,Normal,Yes,18426,Chicken,High School,0,Low,Poor
75000,3000,Medium,Owned,5,Variable,No,16775,Cattle,College Degree,2000,High,Very Good
59207,3000,Medium,Leased,7,Normal,No,17781,Pigs,High School,2000,Low,Excellent
62483,2276,High,Owned,7,Normal,Yes,17590,Pigs,High School,10000,Low,Poor
40000,2048,High,Owned,7,Normal,Yes,14807,Cattle,College Degree,0,High,Good
55768,2522,High,Leased,10,Normal,Yes,15825,Pigs,High School,10000,Low,Poor
42195,2463,Medium,Owned,10,Normal,Yes,15430,Pigs,High School,500,Low,Average
72636,2442,Medium,Leased,7,Variable,No,19281,Cattle,College Degree,0,Low,Excellent
40000,1776,Low,Owned,8,Unpredictable,Yes,12000,Sheep,None,500,High,Average
48588,1865,Medium,Owned,8,Unpredictable,Yes,12000,Sheep,None,500,High,Average
74917,3000,Medium,Leased,5,Variable,No,18176,Chicken,College Degree,2000,Medium,Excellent
44076,1536,Low,Owned,8,Unpredictable,Yes,12000,Sheep,None,500,High,Excellent
75000,2571,Medium,Owned,10,Variable,Yes,17077,Sheep,College Degree,2000,High,Excellent
53371,2507,High,Leased,10,Normal,Yes,14847,Cattle,High School,10000,High,Excellent
40000,1500,Low,Owned,8,Unpredictable,Yes,12000,Sheep,None,500,High,Average
61439,3000,Medium,Owned,5,Variable,Yes,18227,Cattle,None,2000,Low,Poor
49752,2686,Medium,Owned,10,Variable,No,15307,Pigs,College Degree,0,Low,Very Good
40571,1801,Medium,Owned,8,Normal,Yes,12000,Sheep,High School,500,Low,Average
53931,2419,Medium,Owned,10,Variable,Yes,15573,Cattle,College Degree,0,Medium,Very Good
75000,3000,Medium,Leased,5,Variable,No,18889,Chicken,College Degree,2000,Medium,Excellent
56331,2275,Medium,Owned,12,Variable,No,15084,Cattle,College Degree,0,High,Very Good
75000,2648,Medium,Owned,12,Variable,No,18979,Sheep,College Degree,500,Medium,Very Good
40000,1500,Low,Owned,8,Unpredictable,Yes,12000,Sheep,None,500,High,Average
53753,2351,High,Leased,7,Normal,Yes,16570,Cattle,High School,0,Low,Poor
43446,1899,Low,Owned,10,Normal,Yes,12000,Cattle,High School,500,Low,Average
40000,1500,Low,Owned,8,Unpredictable,Yes,12000,Sheep,None,500,High,Average
72124,3000,Medium,Leased,5,Variable,No,20000,Chicken,High School,2000,Medium,Excellent
40000,2310,Low,Owned,8,Unpredictable,Yes,12000,Sheep,None,500,High,Average
44782,2290,High,Owned,7,Normal,Yes,14012,Pigs,None,2000,Low,Average
58404,2391,High,Leased,10,Normal,Yes,17550,Pigs,High School,10000,Low,Poor
75000,3000,High,Leased,7,Normal,Yes,18293,Chicken,High School,2000,Low,Excellent
59639,3000,Medium,Leased,10,Variable,No,15634,Pigs,College Degree,2000,Low,Poor
54395,2318,High,Leased,7,Normal,Yes,17603,Pigs,High School,10000,Low,Poor
50202,2119,High,Owned,12,Normal,Yes,14822,Cattle,High School,0,Low,Very Good
62828,2124,High,Leased,7,Normal,No,15354,Cattle,High School,0,Low,Good
72885,3000,Medium,Leased,5,Variable,No,19724,Chicken,College Degree,2000,Medium,Excellent
75000,3000,Medium,Leased,5,Variable,No,19610,Chicken,College Degree,2000,Medium,Excellent
74885,3000,Medium,Owned,5,Variable,No,19217,Chicken,College Degree,2000,Medium,Excellent
60215,2801,High,Leased,7,Normal,Yes,17215,Pigs,High School,0,Low,Good
51982,2344,Medium,Owned,12,Variable,No,15707,Cattle,College Degree,0,High,Very Good
43352,1500,Low,Owned,8,Unpredictable,Yes,12000,Sheep,None,500,High,Average
52450,2826,Medium,Owned,12,Variable,No,15531,Cattle,College Degree,0,High,Very Good
73254,2930,Medium,Leased,5,Variable,No,20000,Chicken,College Degree,2000,Medium,Excellent
75000,3000,Medium,Leased,5,Variable,No,17622,Chicken,College Degree,2000,Medium,Excellent
44941,1936,Low,Owned,12,Unpredictable,Yes,12000,Sheep,None,2000,Low,Average
75000,3000,Medium,Leased,5,Variable,No,17733,Chicken,College Degree,0,Medium,Excellent
48872,2287,High,Owned,7,Unpredictable,Yes,14884,Sheep,High School,0,Low,Good
54223,2224,High,Leased,5,Normal,Yes,17787,Chicken,High School,2000,Low,Poor
60597,2476,High,Leased,7,Normal,Yes,16563,Pigs,High School,10000,Low,Poor
40000,2918,Low,Leased,5,Unpredictable,Yes,16515,Chicken,High School,500,Medium,Average
75000,2793,Medium,Leased,5,Variable,No,20000,Cattle,High School,2000,Medium,Excellent
40000,1500,Low,Owned,8,Unpredictable,Yes,12000,Sheep,None,500,High,Average
44755,2838,Medium,Owned,5,Variable,Yes,12000,Chicken,College Degree,0,High,Excellent
60040,3000,High,Leased,7,Normal,Yes,16272,Pigs,High School,10000,Low,Poor
56225,2447,Medium,Owned,10,Variable,No,15317,Cattle,College Degree,0,High,Very Good
46409,2347,Medium,Owned,12,Normal,No,14191,Cattle,College Degree,2000,High,Good
56546,1966,High,Owned,7,Normal,Yes,15692,Cattle,High School,0,Low,Good
44931,1698,High,Owned,8,Normal,Yes,12000,Cattle,None,500,High,Good
49000,2198,Medium,Owned,12,Variable,No,15140,Cattle,College Degree,0,High,Very Good
75000,2594,High,Leased,7,Variable,Yes,18348,Pigs,High School,10000,High,Poor
54173,2194,High,Owned,10,Normal,Yes,14867,Cattle,High School,10000,Low,Poor
75000,2598,High,Leased,10,Variable,No,14881,Pigs,High School,10000,Low,Poor
57824,2412,Medium,Leased,12,Variable,No,16086,Cattle,College Degree,0,High,Very Good
73594,3000,Medium,Owned,12,Variable,No,20000,Chicken,College Degree,2000,Medium,Excellent
75000,3000,High,Leased,7,Normal,Yes,17487,Chicken,High School,2000,Medium,Excellent
50247,3000,High,Leased,7,Normal,Yes,16619,Pigs,High School,10000,Low,Poor
52631,2412,High,Owned,12,Variable,No,15934,Cattle,High School,0,High,Very Good
54511,2694,Medium,Owned,12,Variable,No,15501,Cattle,College Degree,0,High,Good
52629,2297,Medium,Owned,5,Variable,No,15512,Cattle,College Degree,0,High,Average
51934,2509,High,Owned,10,Normal,Yes,14010,Cattle,High School,0,Low,Good
75000,1500,Medium,Owned,5,Unpredictable,No,12000,Cattle,College Degree,2000,High,Very Good
57306,1524,Low,Owned,5,Variable,No,15882,Cattle,College Degree,0,High,Average
51773,3000,High,Leased,5,Normal,Yes,18680,Cattle,High School,2000,Medium,Excellent
72056,3000,Medium,Leased,5,Variable,No,19638,Chicken,College Degree,2000,Medium,Excellent
73495,3000,Medium,Leased,5,Variable,Yes,18118,Chicken,None,0,High,Poor
75000,3000,High,Leased,5,Normal,No,18185,Chicken,High School,2000,High,Poor
66956,2965,Medium,Owned,10,Variable,No,20000,Cattle,College Degree,2000,High,Very Good
63850,2361,Low,Owned,8,Normal,No,14656,Cattle,High School,0,Low,Poor
50746,1641,Medium,Owned,12,Variable,Yes,15954,Cattle,None,0,High,Very Good
49971,1500,Low,Owned,8,Variable,Yes,15277,Cattle,College Degree,0,High,Very Good
71401,2921,Medium,Leased,5,Variable,No,16818,Chicken,College Degree,2000,Medium,Poor
41967,2471,High,Owned,10,Normal,Yes,12000,Pigs,High School,0,Low,Average
54554,1683,Medium,Leased,10,Normal,No,16196,Cattle,College Degree,0,High,Average
50017,2283,Medium,Owned,12,Variable,No,15654,Cattle,College Degree,0,High,Very Good
45214,2399,Medium,Owned,12,Variable,No,16714,Cattle,College Degree,0,High,Very Good
52143,2451,Medium,Owned,12,Variable,No,15567,Chicken,College Degree,0,High,Excellent
55110,2705,High,Owned,10,Normal,Yes,15166,Cattle,High School,0,Low,Very Good
60040,2786,Medium,Leased,5,Variable,No,15134,Chicken,College Degree,0,Medium,Very Good
52118,2679,Medium,Leased,7,Normal,Yes,17007,Pigs,High School,10000,Low,Good
75000,3000,High,Leased,5,Normal,Yes,18818,Chicken,High School,10000,Medium,Poor
58436,2158,High,Leased,8,Normal,Yes,14420,Pigs,High School,10000,Low,Average
58781,2147,Medium,Owned,12,Variable,No,15518,Cattle,College Degree,0,Medium,Very Good
64033,3000,High,Leased,7,Normal,Yes,17762,Chicken,High School,10000,Low,Poor
42672,1562,Low,Owned,10,Unpredictable,Yes,15932,Cattle,High School,500,Low,Good
46635,1755,Low,Owned,10,Unpredictable,Yes,12000,Sheep,None,500,High,Average
65014,3000,High,Leased,7,Normal,Yes,16241,Pigs,High School,10000,Low,Poor
